,Symbol,BuyerSerialNum,SellerSerialNum,BuyerOrderID,SellerOrderID,BuyerClientID,SellerClientID,ExecPrice,CashTraded,SharesTraded,CreationTimestamp,ReleaseTimestamp,TradeSerialNum
0,CC,0,0,NULL,NULL,NULL,NULL,244,244,1,1603940135268348,1603940135268698,1946268
1,CC,0,0,NULL,NULL,NULL,NULL,244,244,1,1603940135269704,1603940135270054,1946270
2,CC,0,0,NULL,NULL,NULL,NULL,246,246,1,1603940136298996,1603940136299346,1946367
3,CC,0,0,NULL,NULL,NULL,NULL,246,246,1,1603940136300459,1603940136300809,1946368
4,CC,0,0,NULL,NULL,NULL,NULL,244,24400,100,1603940139316166,1603940139316516,1946665
5,CC,0,0,NULL,NULL,NULL,NULL,242,242,1,1603940139337000,1603940139337350,1946668
6,CC,0,0,NULL,NULL,NULL,NULL,242,242,1,1603940139338162,1603940139338512,1946669
7,CC,0,0,NULL,NULL,NULL,NULL,243,24300,100,1603940139967742,1603940139968092,1946727
8,CC,0,0,NULL,NULL,NULL,NULL,246,246,1,1603940140372388,1603940140372738,1946758
9,CC,0,0,NULL,NULL,NULL,NULL,246,246,1,1603940140373894,1603940140374244,1946759
10,CC,0,0,NULL,NULL,NULL,NULL,243,243,1,1603940141398895,1603940141399245,1946868
11,CC,0,0,NULL,NULL,NULL,NULL,243,243,1,1603940141400036,1603940141400386,1946869
12,CC,0,0,NULL,NULL,NULL,NULL,246,246,1,1603940142428630,1603940142428980,1946966
13,CC,0,0,NULL,NULL,NULL,NULL,246,246,1,1603940142429899,1603940142430249,1946967
14,CC,0,0,NULL,NULL,NULL,NULL,246,246,1,1603940146481124,1603940146481474,1947348
15,CC,0,0,NULL,NULL,NULL,NULL,246,246,1,1603940146482272,1603940146482622,1947349
16,CC,0,0,NULL,NULL,NULL,NULL,248,248,1,1603940149646766,1603940149647116,1947674
17,CC,0,0,NULL,NULL,NULL,NULL,248,248,1,1603940149660357,1603940149660707,1947681
