,Symbol,BuyerSerialNum,SellerSerialNum,BuyerOrderID,SellerOrderID,BuyerClientID,SellerClientID,ExecPrice,CashTraded,SharesTraded,CreationTimestamp,ReleaseTimestamp,TradeSerialNum
5880,AN,0,0,NULL,NULL,NULL,NULL,84,84,1,1603856454058507,1603856454058857,1382837
5881,AN,0,0,NULL,NULL,NULL,NULL,84,84,1,1603856454061021,1603856454061371,1382838
5882,AN,0,0,NULL,NULL,NULL,NULL,85,85,1,1603856455104749,1603856455105099,1382938
5883,AN,0,0,NULL,NULL,NULL,NULL,85,85,1,1603856455107688,1603856455108038,1382939
5884,AN,0,0,NULL,NULL,NULL,NULL,85,85,1,1603856456142567,1603856456142917,1383140
5885,AN,0,0,NULL,NULL,NULL,NULL,85,85,1,1603856456143674,1603856456144024,1383142
5886,AN,0,0,NULL,NULL,NULL,NULL,85,85,1,1603856457167463,1603856457167813,1383263
5887,AN,0,0,NULL,NULL,NULL,NULL,85,85,1,1603856457168634,1603856457168984,1383264
5888,AN,0,0,NULL,NULL,NULL,NULL,86,8600,100,1603856459182192,1603856459182542,1383477
5889,AN,0,0,NULL,NULL,NULL,NULL,86,8600,100,1603856459182195,1603856459182545,1383478
5890,AN,0,0,NULL,NULL,NULL,NULL,86,8600,100,1603856459182198,1603856459182548,1383479
5891,AN,0,0,NULL,NULL,NULL,NULL,86,8600,100,1603856459182202,1603856459182552,1383480
5892,AN,0,0,NULL,NULL,NULL,NULL,86,8600,100,1603856459182203,1603856459182553,1383481
5893,AN,0,0,NULL,NULL,NULL,NULL,86,8600,100,1603856459182208,1603856459182558,1383482
5894,AN,0,0,NULL,NULL,NULL,NULL,86,8600,100,1603856459182210,1603856459182560,1383483
5895,AN,0,0,NULL,NULL,NULL,NULL,86,8600,100,1603856459182212,1603856459182562,1383484
5896,AN,0,0,NULL,NULL,NULL,NULL,86,8600,100,1603856459182214,1603856459182564,1383485
5897,AN,0,0,NULL,NULL,NULL,NULL,86,8600,100,1603856459182218,1603856459182568,1383486
5898,AN,0,0,NULL,NULL,NULL,NULL,86,8600,100,1603856459182219,1603856459182569,1383487
