,Symbol,BuyerSerialNum,SellerSerialNum,BuyerOrderID,SellerOrderID,BuyerClientID,SellerClientID,ExecPrice,CashTraded,SharesTraded,CreationTimestamp,ReleaseTimestamp,TradeSerialNum
5817,AE,0,0,NULL,NULL,NULL,NULL,114,11400,100,1603856579054518,1603856579054868,1397244
5818,AE,0,0,NULL,NULL,NULL,NULL,114,11400,100,1603856579054519,1603856579054869,1397245
5819,AE,0,0,NULL,NULL,NULL,NULL,114,11400,100,1603856579054521,1603856579054871,1397246
5820,AE,0,0,NULL,NULL,NULL,NULL,114,11400,100,1603856579054522,1603856579054872,1397247
5821,AE,0,0,NULL,NULL,NULL,NULL,114,11400,100,1603856579054526,1603856579054876,1397248
5822,AE,0,0,NULL,NULL,NULL,NULL,114,11400,100,1603856579054528,1603856579054878,1397249
5823,AE,0,0,NULL,NULL,NULL,NULL,114,11400,100,1603856579054529,1603856579054879,1397250
5824,AE,0,0,NULL,NULL,NULL,NULL,114,10602,93,1603856579054530,1603856579054880,1397251
5825,AE,0,0,NULL,NULL,NULL,NULL,114,798,7,1603856579057121,1603856579057471,1397252
5826,AE,0,0,NULL,NULL,NULL,NULL,114,11400,100,1603856579057127,1603856579057477,1397253
5827,AE,0,0,NULL,NULL,NULL,NULL,114,11400,100,1603856579057132,1603856579057482,1397254
5828,AE,0,0,NULL,NULL,NULL,NULL,114,11400,100,1603856579057135,1603856579057485,1397255
5829,AE,0,0,NULL,NULL,NULL,NULL,114,11400,100,1603856579057136,1603856579057486,1397256
5830,AE,0,0,NULL,NULL,NULL,NULL,111,111,1,1603856579066930,1603856579067280,1397257
5831,AE,0,0,NULL,NULL,NULL,NULL,111,111,1,1603856579068145,1603856579068495,1397258
5832,AE,0,0,NULL,NULL,NULL,NULL,112,11200,100,1603856579268933,1603856579269283,1397284
5833,AE,0,0,NULL,NULL,NULL,NULL,112,11200,100,1603856579567994,1603856579568344,1397314
